MESE;COD_DITT;UNI_FUNZ;FNM_g_2017;FEM_g_2017;FTM_g_2017;ASIA;ateco;FNM_p_2016;FEM_p_2016;FTM_p_2016
8;00003109Q;4;69;91;160;24159397;256;12;87;99
11;00505939A;0;0;107;107;397362;152;7;92;99
6;00502145A;0;135;10;145;407226;143;90;10;100
12;00066092F;0;211;32;243;101255;181;81;19;100
1;00505081A;0;7;2468;2475;27770;284;27;73;100
4;00509545A;0;105;25;130;29138288;120;82;19;101
4;00508960A;0;76;616;692;15030128;256;40;61;101
8;00007872A;0;27;75;102;2259765;162;14;87;101
8;00507828A;0;80;189;269;59799;222;6;95;101
4;00509616A;0;628;104;732;29395582;251;81;21;102
6;00500245A;0;64;90;154;33146;322;74;28;102
8;00016587C;0;145;23;168;56844;139;71;31;102
9;00010702R;0;7;1170;1177;42485;289;16;86;102
1;00005580A;0;7;628;635;245902;284;13;89;102
8;00007633F;0;185;195;380;33212;310;5;97;102
8;00502065A;0;109;53;162;384617;329;51;52;103
8;00504927A;0;78;204;282;25956080;265;20;83;103
1;00509091A;0;12;70;82;19620859;322;11;92;103
7;00032905F;0;1;936;937;3340262;152;1;102;103
9;00508373A;0;378;5;383;381430;251;19;85;104
1;00001236N;0;266;0;266;29870902;231;15;89;104
4;00506164A;0;7;737;744;537842;257;11;93;104
8;00508458A;0;210;486;696;435950;237;3;101;104
11;00508228A;0;58;9;67;277471;322;71;34;105
2;00508278A;0;32;838;870;318663;282;25;80;105
1;00502145A;0;60;12;72;407226;143;102;4;106
1;00501945A;0;85;339;424;350286;81;78;28;106
1;00509124A;0;54;25;79;20088570;322;74;32;106
1;00506825A;0;55;26;81;18533268;237;65;41;106
7;00507190A;0;0;3207;3207;23173410;253;39;67;106
10;00075807Y;0;193;14;207;138614;267;103;4;107
6;00520108A;0;78887;13710;92597;679330;91;91;16;107
8;00003983O;0;228;48;276;85388;279;48;59;107
5;00509039A;0;41;66;107;18949074;322;36;71;107
8;00509389A;0;25;27;52;25998752;329;9;98;107
3;00509124A;0;94;96;190;20088570;322;85;23;108
8;00500271A;0;273;111;384;244617;310;81;27;108
11;00509449A;0;151;228;379;27249696;264;80;28;108
2;00024672O;0;;;;30285805;142;71;37;108
12;00506285A;0;698;13;711;634503;331;107;2;109
2;00505688A;0;186;1;187;256786;142;106;3;109
8;00520174A;0;208147;1128;209275;20720635;89;102;7;109
1;00508988A;0;233;8;241;18156975;331;64;45;109
10;00505368A;0;369;73;442;108697;282;51;58;109
9;00509039A;0;8;105;113;18949074;322;24;85;109
7;00000198B;0;60;404;464;28655;254;101;9;110
4;00507932A;0;57;38;95;102643;142;48;62;110
8;00505830A;0;214;0;214;341815;310;109;2;111
8;00007185E;0;229;34;263;28773;151;84;27;111
8;00502424A;0;125;17;142;29746641;162;78;33;111
8;00501207A;0;14;49;63;133458;322;13;98;111
8;00009904X;0;271;4;275;14177;151;111;1;112
12;00075807Y;0;278;6;284;138614;267;111;1;112
8;00503273A;0;2102;30;2132;23239079;284;108;4;112
1;00507285A;0;83;0;83;24100110;237;93;19;112
1;00506647A;0;88;9;97;10901331;289;80;32;112
2;00508651A;0;49;1507;1556;626244;262;54;58;112
9;00003109Q;4;67;208;275;24159397;256;14;98;112
4;00506825A;0;229;158;387;18533268;237;74;39;113
11;00508029A;0;72;839;911;145061;289;73;40;113
4;00509124A;0;58;86;144;20088570;322;55;58;113
1;00507712A;0;12;263;275;23674;282;18;95;113
8;00509383A;0;8;42;50;25986776;267;5;108;113
1;00508108A;0;93;9;102;191830;331;108;6;114
5;00500245A;0;155;0;155;33146;322;94;20;114
11;00509091A;0;2;104;106;19620859;322;11;103;114
3;00506333A;0;1;993;994;669460;237;6;108;114
2;00520102A;0;139;0;139;656507;182;110;5;115
6;00500379A;0;78;147;225;10654;152;100;15;115
4;00505747A;0;547;35;582;293781;152;80;35;115
1;00509383A;0;31;49;80;25986776;267;51;64;115
9;00506957A;0;27;358;385;19648994;251;50;65;115
3;00508688A;0;0;4779;4779;664963;310;38;77;115
11;00508659A;0;38;305;343;631569;324;3;112;115
8;00508838A;0;169;0;169;3392350;324;114;2;116
1;00505272A;0;60;2;62;77587;263;107;9;116
12;00508478A;0;1;0;1;29884009;256;101;15;116
4;00506117A;0;9;684;693;510994;257;11;105;116
4;00509039A;0;23;80;103;18949074;322;3;113;116
8;00017409G;0;;;;50363;331;114;3;117
8;00011999A;0;279;61;340;98281;133;88;29;117
2;00505081A;0;23;234;257;27770;284;54;63;117
7;00502116A;0;64;0;64;397561;284;40;77;117
5;00502984A;0;61;251;312;2692430;152;54;65;119
4;00505326A;0;115;83;198;94850;143;88;32;120
8;00508277A;0;76078;577643;653721;317619;259;55;65;120
5;00500116A;0;271;415;686;3346056;284;30;90;120
3;00520102A;0;164;7;171;656507;182;120;1;121
12;00505688A;0;125;2;127;256786;142;118;3;121
8;00520075A;0;137;6;143;460704;232;118;3;121
8;00503010A;0;64230;0;64230;2801601;257;118;3;121
8;00507909A;0;58;0;58;95253;256;75;46;121
3;00509024A;0;84;106;190;18540651;323;67;54;121
4;00508584A;0;302;10;312;554090;256;59;62;121
8;00506048A;0;56;94;150;463717;257;57;64;121
11;00505983A;0;80;257;337;423381;152;32;89;121
8;00004632N;0;150;99;249;2221874;234;93;29;122
3;00007480G;0;66;2714;2780;659727;289;66;56;122
8;00508623A;0;1555;3177;4732;594520;289;3;119;122
7;00509357A;0;204;2;206;25440875;142;122;1;123
8;00505445A;0;65;41;106;136950;259;64;59;123
2;00001828P;0;19;355;374;82309;324;54;69;123
5;00520108A;0;95025;12790;107815;679330;91;109;15;124
5;00024672O;0;;;;30285805;142;47;77;124
3;00003109Q;4;77;166;243;24159397;256;26;98;124
8;00019256T;0;67;349;416;2265639;321;21;103;124
11;00509471A;0;;;;27371496;162;119;6;125
8;00506802A;0;;;;18402921;257;105;20;125
5;00509124A;0;71;86;157;20088570;322;73;52;125
7;00509545A;0;216;0;216;29138288;120;125;1;126
8;00500748A;0;99;87;186;54307;284;48;78;126
8;00520038A;0;2;29780;29782;203529;142;13;113;126
8;00503861A;0;148;897;1045;21345488;284;6;120;126
10;00502145A;0;276;14;290;407226;143;124;3;127
2;00520075A;0;141;2;143;460704;232;124;3;127
11;00520102A;0;157;7;164;656507;182;117;11;128
12;00004109V;0;88;8;96;2269386;141;112;16;128
12;00500379A;0;47;2;49;10654;152;108;20;128
10;00003109Q;4;84;143;227;24159397;256;38;90;128
6;00075807Y;0;265;16;281;138614;267;127;2;129
2;00506637A;0;172;22;194;10794610;331;125;4;129
7;00005193S;0;119;114;233;29909157;274;85;44;129
1;00503727A;0;51;176;227;20076683;81;75;54;129
12;00507285A;0;138;14;152;24100110;237;125;5;130
11;00502145A;0;147;17;164;407226;143;120;10;130
10;00509591A;0;359;17;376;26786045;331;113;17;130
1;00505055A;0;146;38;184;21096;237;107;23;130
8;00012327C;0;128;76;204;541803;139;101;29;130
7;00500397A;0;114;138;252;13481;282;1;129;130
4;00509613A;0;0;1657;1657;29098731;289;1;129;130
6;00509124A;0;74;79;153;20088570;322;71;60;131
